p,physical_error_rate,logical_error_rate_theoretical,logical_error_rate_empirical
0.0,0.0,0.0,0.0
0.05,0.05,0.007250000000000001,0.006591796875
0.1,0.1,0.028000000000000004,0.0274658203125
0.15,0.15,0.060750000000000005,0.0560302734375
0.2,0.2,0.10400000000000002,0.10107421875
0.25,0.25,0.15625,0.1529541015625
0.3,0.3,0.21600000000000003,0.2113037109375
0.35,0.35,0.28174999999999994,0.2769775390625
0.4,0.4,0.3520000000000001,0.353271484375
0.45,0.45,0.42525,0.424072265625
0.5,0.5,0.5,0.5010986328125
0.55,0.55,0.5747500000000001,0.5767822265625
0.6,0.6,0.6480000000000001,0.6522216796875
0.65,0.65,0.71825,0.721923828125
0.7,0.7,0.7839999999999999,0.7882080078125
0.75,0.75,0.84375,0.8441162109375
0.8,0.8,0.8960000000000001,0.8980712890625
0.85,0.85,0.9392499999999997,0.9393310546875
0.9,0.9,0.972,0.9722900390625
0.95,0.95,0.9927500000000002,0.9937744140625
1.0,1.0,1.0,1.0
