feature,importance_type,importance
categorical__circuit_bell_phi_plus,gini_encoded,0.0005020065536830266
categorical__circuit_ghz,gini_encoded,0.00042348163333834734
categorical__channel_amplitude_damping,gini_encoded,0.014368010209373304
categorical__channel_bit_flip,gini_encoded,0.059160767098175096
categorical__channel_depolarizing,gini_encoded,0.09631301383959076
categorical__channel_phase_damping,gini_encoded,0.04753916959698784
categorical__channel_phase_flip,gini_encoded,0.011987658811161744
remainder__qubit_count,gini_encoded,0.10461464509310096
remainder__param,gini_encoded,0.6031626577111089
remainder__depth,gini_encoded,0.061928589453479954
circuit,permutation_original,-0.0006881330605738256
channel,permutation_original,0.45838874794529066
qubit_count,permutation_original,0.23678507855937697
param,permutation_original,1.2700988337095829
depth,permutation_original,0.11261717113845204
